UF_RESIDENCIA,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AC,170.31042944785275,172.00071479628306,171.61175115207374,171.61779806046778,171.68678334339168,173.66981627296587,174.05742821473157,171.99093333333334,172.56233561283534,172.4883843717001
AL,172.112036336109,173.2168284789644,173.66219369894984,173.68196202531647,173.95228494623655,173.98899082568806,174.0568842921784,174.39816158684084,173.47326203208556,173.110153256705
AM,170.39851056459992,171.7916426180307,172.13089182773822,172.90996936130097,171.33399602385686,171.6568261508879,171.81704726500266,170.96704204979852,170.65848239084545,171.25970987365466
AP,169.75944584382873,171.11532125205932,170.96850393700788,169.98212956068502,169.21787709497207,171.7255520504732,171.27656675749319,171.13228155339806,170.1306818181818,171.50593607305936
BA,174.0783840820018,174.14775938635447,174.2585094770269,174.34277325250994,175.23800039832702,174.53089399497972,174.63579892966362,174.77730067336782,174.66674958024998,175.34073604060913
CE,169.83557202408522,171.2200488997555,171.51240580775593,171.3372979000186,170.24386920980928,171.13193331195896,171.07355864811134,171.42357642357643,170.81727337615987,171.89007684597394
DF,174.89400183150184,175.40621909680254,175.08973822865266,176.13382450631076,176.26954081328,175.67180162638874,173.75867986798679,173.5389639981771,174.7278475604546,173.4234535281318
ES,173.4320987654321,174.63838028169013,175.47617638354544,174.98887545344618,174.42191211401425,174.27009984235417,174.67703862660943,174.24553571428572,175.09944134078214,175.28492333901193
GO,173.81980693600286,174.50478468899522,174.92551792173626,175.0895238095238,174.9459844313651,174.5979633401222,173.8846098370114,174.0028413339315,174.67638659251466,174.00078523753436
MA,170.10030959752322,170.7846364883402,171.75434164824756,170.82603550295858,171.98812019566736,171.12677231025856,171.58973322554567,171.4514325646401,171.52447552447552,172.0206084396467
MG,174.23325482807348,174.0942172873526,174.62413452027695,173.9962022863786,174.18776431797005,174.47500484027105,174.1595761138614,174.57354234983603,174.25515593076597,174.33601065379332
MS,173.19003840335156,174.30634381505425,174.42481246393538,174.12853122068174,175.46041726207488,175.51260936695832,175.0880024673589,175.1643215585949,174.9852679970745,174.65028121484815
MT,172.3729863692689,172.70928961748635,172.11661860129777,172.72968281521224,173.3988630111865,173.20933926302413,173.79276879162703,173.72520852641335,173.62324723247232,174.77509393451422
PA,169.3089719116444,169.87172701949862,170.0668471470221,169.87330533893223,167.32995982694686,171.39217241835252,171.1276552700789,170.55041732461086,170.43043659912263,170.86244464127546
PB,170.3328804347826,172.0357905982906,172.26275303643726,172.69628008752736,172.94996708360765,172.90603363006923,172.93859649122808,173.14455151964418,172.9014948256037,173.97857613711273
PE,172.52446233178216,174.46918750747875,173.8475819597899,172.45439526997652,172.01377757766772,172.87376014427412,171.2431380581729,172.06779216235128,172.5508811333794,172.68842670912528
PI,169.94073705179284,169.85860889395667,170.06247647722995,171.09879789631856,170.9278973197433,172.07755916737952,172.25805322128852,172.11422136422135,171.1930402930403,172.50292038118658
PR,173.3812137298124,173.75849320133096,173.52367436459812,173.50004083299305,173.94327990135636,173.92565743811213,174.13318380447814,173.70152179336398,174.24031007751938,174.09075239507757
RJ,175.4055003227889,175.46427501670468,174.48468725019984,174.62190170141744,175.71177448729117,175.44996130261356,174.67002999093296,174.1585574863128,175.12434269072082,174.91703757596508
RN,170.97862298722933,171.13986710963457,171.85417313062365,172.1991482965932,171.85622593068035,171.88367346938776,172.26601164483262,172.7729683853172,171.65886061697816,174.6395306859206
RO,170.90919158361018,172.0669556840077,173.8055680287382,173.68968222832484,173.88785381583662,173.20981023988543,174.1923595505618,172.8762960314623,174.69183762549105,174.56272893772893
RR,170.77358490566039,170.1072226358898,169.12959251837006,168.90562378797674,169.2768456375839,169.4918672739102,170.02448657187995,169.82902208201892,170.38867077958497,170.87367563162184
RS,174.17959545968046,174.14149523331662,173.8565034965035,174.01130937421462,173.65471357161297,173.74264156401418,172.8631430290033,173.61511367275057,173.22579904599138,173.43332158064604
SC,174.30249768732654,175.11159699142908,175.285426686053,174.90971902349148,174.47781217750259,174.2102493523316,174.6602109903952,173.6009988901221,174.32212306872668,174.729618240456
SE,172.40889830508473,172.73938942665674,172.85946385052802,173.88184438040346,172.41036128152692,172.98413957176842,172.24845869297164,174.53538461538463,174.04363001745202,174.06892523364485
SP,174.86096941453073,174.95415860332523,175.07544482558023,174.53541380494505,174.7109556177529,174.6877408179858,175.00195412214143,174.6620896878221,174.29867804287144,174.75498241500586
TO,173.4021164021164,174.21963562753035,173.84518451845184,173.46682464454977,175.9936858721389,173.7340425531915,174.10115911485775,173.86039453717754,173.933598937583,173.9894894894895
BR,172.40164705562407,173.09472742978565,173.25251887549734,173.02174615794556,173.17823297369281,173.30488971927167,173.32486191392874,173.24573111495553,173.2858682408201,173.55637795940856
